name,type,typecode,address,pname,cityname,adname,gcj02_lon,gcj02_lat,wgs84_lon,wgs84_lat
三屈网球中心,体育休闲服务;运动场馆;网球场,80103,国贸中国大饭店建国门外大街1号,北京市,北京市,朝阳区,116.45854,39.912639,116.452386,39.91130287
长安白云游泳健身,体育休闲服务;运动场馆;游泳馆,80110,白云观街7号长安白云大酒店内,北京市,北京市,西城区,116.345472,39.899921,116.3392997,39.89857715
NEXTCHAMP网球俱乐部（国贸校区）,体育休闲服务;运动场馆;网球场,80103,光华路1号嘉里大酒店,北京市,北京市,朝阳区,116.458087,39.913984,116.4519314,39.91264676
嘉里中心-网球场,体育休闲服务;运动场馆;网球场,80103,光华路1号北京嘉里大酒店2层,北京市,北京市,朝阳区,116.45818,39.91403,116.4520247,39.91269298
北京嘉里健身室内网球场-室内游泳池,体育休闲服务;运动场馆;游泳馆,80110,光华路1号北京嘉里大酒店2层,北京市,北京市,朝阳区,116.458604,39.913837,116.45245,39.91250096
中赫国安庆丰体育中心,体育休闲服务;运动场馆;综合体育馆,80101,双井街道东三环中路26号(庆丰公园),北京市,北京市,朝阳区,116.462261,39.901899,116.4561197,39.90057215
职工之家游泳馆,体育休闲服务;运动场馆;游泳馆,80110,真武庙路1号中国职工之家B座4层,北京市,北京市,西城区,116.345617,39.905786,116.3394436,39.90444162
北京汽车光彩体育馆,体育休闲服务;运动场馆;综合体育馆,80101,光彩北路2号院-1,北京市,北京市,丰台区,116.413239,39.85315,116.4070063,39.85175124
北京英图网球俱乐部,体育休闲服务;运动场馆;网球场,80103,安定路光彩体育馆,北京市,北京市,丰台区,116.413246,39.853138,116.4070133,39.85173924
荷花泰菜溜冰场(国贸商城店),体育休闲服务;运动场馆;溜冰场,80107,建外街外大街1号国贸商城2座地下2层NB201,北京市,北京市,朝阳区,116.460192,39.910925,116.4540432,39.9095928
北京花样游泳队,体育休闲服务;运动场馆;游泳馆,80110,光彩北路4号院运动员公寓,北京市,北京市,丰台区,116.409698,39.85273,116.4034633,39.85132986
国贸中心草地网球场,体育休闲服务;运动场馆;网球场,80103,建国门外大街1号中国国际贸易中心L3,北京市,北京市,朝阳区,116.459778,39.912162,116.4536278,39.91082877
爱罗杰网球俱乐部(国贸店),体育休闲服务;运动场馆;网球场,80103,建外街道建国门外大街1号国贸中心草地网球场(近国贸大酒店门口),北京市,北京市,朝阳区,116.459654,39.912551,116.4535033,39.91121747
中国人民公安大学游泳馆,体育休闲服务;运动场馆;游泳馆,80110,木樨地南里甲1号,北京市,北京市,西城区,116.340149,39.901608,116.3339882,39.90027383
氧舱壹号游泳健身馆,体育休闲服务;运动场馆;游泳馆,80110,红居东街南郎琴园1院,北京市,北京市,西城区,116.341245,39.88781,116.3350835,39.88647443
文化宫保龄球馆,体育休闲服务;运动场馆;保龄球馆,80102,[],北京市,北京市,西城区,116.343174,39.913703,116.337005,39.91236272
什刹海滑冰场(暂停营业),体育休闲服务;运动场馆;溜冰场,80107,后海北沿46号附近,北京市,北京市,西城区,116.38332,39.944359,116.3770799,39.9429613
火星体育羽毛球游泳篮球网球乒乓球培训(农光里店),体育休闲服务;运动场馆;游泳馆,80110,武圣路农光里,北京市,北京市,朝阳区,116.46434,39.882362,116.4582078,39.88104117
瑰丽酒店泳池,体育休闲服务;运动场馆;游泳馆,80110,瑰丽酒店,北京市,北京市,朝阳区,116.460683,39.920415,116.4545345,39.91908357
广华轩乒乓球俱乐部,体育休闲服务;运动场馆;乒乓球馆,80112,广安门外大街231号广华轩小区,北京市,北京市,西城区,116.340082,39.890793,116.3339227,39.88945945
北京万佳乒乓球俱乐部东大桥店,体育休闲服务;运动场馆;乒乓球馆,80112,核桃园北里6楼东北侧,北京市,北京市,朝阳区,116.457839,39.92505,116.4516813,39.92371173
北京三十五中高中部体育馆,体育休闲服务;运动场馆;综合体育馆,80101,赵登禹路8号,北京市,北京市,西城区,116.369685,39.940148,116.3634621,39.93876457
海晟游泳健身,体育休闲服务;运动场馆;游泳馆,80110,海晟名苑,北京市,北京市,东城区,116.442079,39.937962,116.4358783,39.9365914
霂霖婴儿游泳馆(世茂广场店),体育休闲服务;运动场馆;游泳馆,80110,三里屯世茂广场3层儿童区,北京市,北京市,朝阳区,116.449546,39.934114,116.443364,39.93275751
奥佳游泳培训(呼家楼爱尚店),科教文化服务;培训机构;培训机构|体育休闲服务;运动场馆;游泳馆,141400|080110,工人体育场南路呼家楼圣世一品小区D座爱尚健身,北京市,北京市,朝阳区,116.458523,39.925903,116.4523672,39.92456627
搏鸣乒乓球俱乐部(红莲校区),体育休闲服务;运动场馆;乒乓球馆,80112,手帕口南街80号京铁和园A区泛悦坊4层,北京市,北京市,西城区,116.343583,39.876853,116.3374177,39.87551367
国青乐动新街口足球场,体育休闲服务;运动场馆;足球场,80105,西直门内大街51号北院,北京市,北京市,西城区,116.370492,39.941647,116.3642677,39.94026251
悦动康乒乓(三里屯),体育休闲服务;运动场馆;乒乓球馆,80112,三里屯世茂工三广场2层213-2室,北京市,北京市,朝阳区,116.449544,39.93432,116.443362,39.9329635
Hisen运动游泳馆,体育休闲服务;运动场馆;游泳馆,80110,海晟名苑北区,北京市,北京市,东城区,116.442001,39.939152,116.4358,39.93778121
游泳馆,体育休闲服务;运动场馆;游泳馆,80110,三里河南横街1号,北京市,北京市,西城区,116.340027,39.912779,116.3338651,39.91144457
